date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
2022-05-24,Senior Software Engineer,Mumbai,"Former Employee, more than 5 years",Fantastic Learning Experience,0,"-Joined as a fresher and learnt lot of things from scratch
-Got the chance to work at client location in sweden",-No Growth in offshore salary when you're at onsite so difficult to sustain after coming back,,5.0,,,,,,,mark,mark
2022-05-24,Software Engineer,,Current Employee,Review,0,"Good management 
Tesm members and",Have to go through many training,,5.0,,,,,,,circle,circle
2022-05-24,Jde CNC Consultant,Airoli,"Current Employee, more than 3 years",Best culture,0,"Best environment , great culture , efficiency","None , none ,none, none, none",,5.0,,,,,,,circle,circle
2022-05-25,Software Engineer,Mumbai,"Current Employee, more than 1 year",CRM Dynamics 365 Developer,0,LTI is a great organization to work with. 1. Better work environment. 2. Hybrid work policy,No specific cons for this company.,,5.0,,,,,,,mark,mark
2022-05-25,Anonymous,,"Current Employee, more than 5 years",Decent opportunities with cutting edge technologies,0,Exposure cutting edge technologies like cloud,Don't have enough work-life balance for some projects,,4.0,,,,,,,circle,circle
2022-05-25,Senior Engineer,Pune,"Current Employee, less than 1 year",Mscrm technical,0,Work like balance is good here,They will give less hike,,4.0,,,,,,,mark,mark
2022-05-23,Anonymous,,Current Employee,Software Engineer,0,Good for career and us,Time taking for getting into project,,5.0,,,,,,,circle,circle
2022-05-24,Anonymous,,"Current Employee, more than 3 years",Best company to work with,0,"Good environment, friendly people and manager",Nothing i have seen till now,,5.0,,,,,,,circle,circle
2022-05-24,Senior Software Engineer,,"Current Employee, more than 1 year",Nice place to work,0,Good env to work . Nice company,No cons. Company is good,,5.0,,,,,,,mark,mark
2022-05-23,Data Scientist,Hyderābād,"Current Employee, more than 5 years",Review,0,Good company and good benefits,No negative comments on the company,,4.0,,,,,,,circle,circle
2022-05-23,Specialist,,Current Employee,Good Working Environment,0,Overall good organization to work for,Less salary as per market standards,,4.0,,,,,,,circle,circle
2022-05-24,Senior Software Engineer,Pune,"Current Employee, more than 3 years",Good Company to work for,0,Good company to work for.,No cons observed as of now,,4.0,,,,,,,mark,mark
2022-05-10,Anonymous,,"Current Employee, more than 8 years",Overall Good Experience,0,"Stability, Onsite opportunity. Overall a good company.",Nothing to be highlighted as such,,5.0,,,,,,,mark,mark
2022-05-28,Associate Consultant,,Current Employee,Work life balance is good,0,Good company and work life balance is good,Less salary and yearly hikes are less,,5.0,,,,,,,circle,circle
2022-05-28,Assistant SYSTEM ENGINEER,,Current Employee,None.,0,Good for Freshers and also proper work balance,Salary is low but its okk,,5.0,,,,,,,circle,circle
2022-05-28,Senior Systems Engineer,,"Current Employee, more than 5 years",Good company,0,Almost all the Facilities provided,Low Salary as per performance,It's good,5.0,,,,,,,mark,mark
2022-05-28,Software Developer,,Current Employee,Good job security,0,"Good job security , good campus",No hike and no faster promotion,,5.0,,,,,,,mark,mark
2022-05-28,Systems Engineer,Calcutta,"Current Employee, less than 1 year",Great,0,"Less Work Load, Friendly Colleagues",Most of Freshers are on Bench,Letting freshers choose their domains,5.0,,,,,,,mark,cross
2022-05-28,Developer,,"Current Employee, more than 3 years",Developer,0,Work life balance is good,It will take life to climb up the ladder,,5.0,,,,,,,mark,mark
2022-05-28,Senior Consultant,Mumbai,"Former Employee, more than 10 years",Great place to learn and grow,0,Multiple opportunities globally for career growth,Large organisation sometimes take more time to show impact,,5.0,,,,,,,circle,circle
2022-05-28,Data Engineer,,Current Employee,Great company as a fresher,0,Great learning experience and Healthy environment,No such cons as of now.,,4.0,,,,,,,circle,circle
2022-05-28,IT Analyst,,Current Employee,Salary,0,Good work life balance environment,Less salary hike per year,,4.0,,,,,,,mark,mark
