date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
2017-08-23,Anonymous,,Former Employee,The K-Mart of Digital Marketing,8,"- Hires young, enthusiastic people who are very friendly. Even the CEO will greet you when he's in town.

- Work/life balance. While some days are more packed than other, many people are able to finish their tasks for the day fairly quickly making it a pretty stress-free environment. 

- Benefits are decent and company is flexible. They have health, vision, dental and 401K. They have even brought in advisors to help with additional questions. If you need time off or an occasional work from home day, they’re usually pretty accommodating – depending on your rapport and relationship with your manager. Because of traffic, they have a flexible start time i.e. you can come in anywhere between 6:30 a.m. to 8:30 a.m. and adjust your leave time accordingly. The one rule is you cannot leave before 3:30 p.m. without talking to your manager about it beforehand. Also, it's in a great location downtown with access to a parking garage 24/7. That comes in handy for a lot of people.

- Great Culture. They regularly had company-sponsored happy hours in the office, a great holiday party at the end of the year and themed days especially when comic-con was in town so people could have a chance to win tickets.

- If you are brand new to the industry, you can get a lot of work samples quickly in a place like this. Also, I found those that were serious about evolving in specific aspects of digital marketing tended to turnover rather quickly, but those that were good with process and general ideas moved up pretty quickly to management opportunities. It all depends on what your goals are for if this will be a good fit for you.

- Plenty of opportunities to find and start a new project to help boost your skills/knowledge in whichever area you choose. When the industry makes major changes the company cannot ignore, the company looks to their natural leaders to take charge and implement those changes seamlessly. If you can spot these opportunities, and you’re a go-getter who’s good at networking internally, this can work in your advantage. 

- When faced with a major layoff, recently, upper management cut quite a few people based on numbers alone. However, I will give them credit that they did try their best to place these people with work/options post layoff. They also gave this group a 60-day notice and a severance package – based on specific parameters. However, that’s not always the case on how they handle lay off situations. A couple months prior to that, they had to lay off the entire sales department and several other folks in various departments. They didn’t give those people advance notice, at all, but I believe they still received some sort of severance package.

- Caring management team. The company does a pretty good job at hiring managers who still have compassion in them. Most management was internally promoted which helps with process but hinders the company on advancing in the industry – there are a few exceptions to the rule, but very few. However, I definitely have never had a manager care more about my personal well-being than at G/O digital. 

- Continued opportunities to make extra cash. For certain departments, the company will host a lot of sales competitions giving you the opportunity to make a little extra cash for upsells and cross sales. However, this was primarily for the client services team. Nevertheless, there is an excellent referral program to get you some extra cash, and an internal awards program that not only makes you feel recognized for your accomplishments but comes with an extra $50 or $100 if you win.","- Every product/service is outdated and limited by an outdated process. The company restricts you from being able to do basic marketing tactics like A/B testing. Recently, the social ads released a “big update” which included doing different URLs for a set of static ads and allowing all package levels to do geographic radius targeting. The company is spending a lot of time catching up and not a lot of time understanding how to be profitable. 

- SEO Product doesn't usually work. The team recently (launched June 2016) updated the product to more closely align with Google's Hummingbird update (released 2013). However, the new product doesn't include a link acquisition strategy, update onsite content (they create content on a blog page hosted on your site if you have one already or can install it otherwise they push you to a ""web 2.0"" or off-site blog like Wordpress that doesn't always link back to your website, boost trustworthy authority, fix website architecture, or improve social sharing (i.e. they do post to your social pages, but act more as a broadcast channel assuming you’ve already built your own audience. The reporting metrics are based off their proprietary system and allows very little insight into how the website is performing i.e. no data comparing desktop to mobile specifically, no traffic acquisition report, no content efficiency report for specific pages/pieces of content, no keyword analysis report (as a part of their talking points, they try to avoid keywords in general), no breakdown of visitors beyond number of sessions, and all of their reporting is generalized into one website vs. per page. Additionally, your AM is likely not going to have a lot of experience with SEO, and you’re not going to get a lot of specifics addressed for your questions especially if you’re looking at Google Analytics. 

- Search Advertising, their primary service/product, is limited. The company uses PPC on the search network and display network, primarily. If you’re looking to do shopping ads, you’re either going to be a T1 client spending at least $10,000 / month or go somewhere else. Sorry small business eCommerce sites and those wanted to learn all of Adwords capabilities. Also, if you’re looking to understand cost per acquisition or Return on Ad Spend, you’re not likely going to get it here. The team focuses on click / CTR data. So in short, it’s a good place to learn PPC if you have no experience at all, but if you’re even at a basic level, you’re not going to advance your knowledge much here.

- Slow to change and overly process oriented. The team leads and management have pretty set processes and “standard operating procedures”. The internal teams do not always work the greatest together to find solutions that best fit their customer’s needs especially if it goes against SOP. I often felt like I was fighting against the internal teams instead of collaborating because “that’s not the G/O way”. Also, they have set SLAs for every task with fulfillment. This is great for task management for the fulfillment team to plan ahead, but you need to be a strong person if you want to be an AM. It’s going to take a lot out of you to explain why a simple change like adding in a few negative keywords will take 3-5 days. Also, there is a disconnect between pre-sales and post-sales. Often times, the first thing you need to do is reset expectations because you're not sure what the pre-sales team told them, but it's no where near what is actually going to work / what you're even capable of doing at this spend level. This disconnect comes in with lack of communication between these departments and digital marketing training for the pre-sales team.

- Ambiguous Performance Evaluations. The company has annual reviews set in place with criteria each employee in various positions needs to meet in order to qualify for a bonus and/or a pay increase. This would be fantastic if it wasn’t for the fact that the criteria is pretty ambiguous when you really analyze it. You get plenty of feedback from your manager, but each department is only allotted to give a certain amount to their team. So the percentage distribution isn’t always fair especially if you are only a fairly even team. For example, if everyone on your team was equal, they would give each person a 3-star rating and a 2% raise (using that as a hypothetical), but if there was one stand out, the stand out could get a 5-star rating and a 3% raise while everyone else would be dropped to a 2 or 1% to accommodate. To some, this way seem pretty standard, but the criteria for a stand out doesn’t always mean highest producing based on pre-set qualifications. It may mean that person was more tenured in that department. This could negatively impact you if you were promoted early on in the year, and therefore not as tenured to that department by the end of it. Additionally, your direct report manager does your annual review, but if the company needs to do a lay-off, they do not even consult your direct report manager before handing out unemployment packages. If the company is going to hit another downturn, which is very possible, do not expect to take comfort that your manager will be able to save you. Chances are, they’re as in the dark as you are.","Study up! This company lacks serious mentors in the digital marketing space. The longer you have been in management, the more likely it is your digital marketing knowledge is outdated because you've been ""too distant from the product"".",3.0,5.0,5.0,3.0,3.0,2.0,,cross,cross
2017-08-23,Anonymous,"Phoenix, AZ","Former Employee, more than 3 years",the best and worst of both worlds,7,fun people. useful skill development.,large corporation. slow moving. soulless. CEO is kind of a joke. just had more layoffs.,,3.0,3,4,3,3,3,,cross,cross
2017-09-03,Regional Account Executive,"McLean, VA","Former Employee, more than 1 year",Great opportunity,0,"You can make decent money in this roll if you close enough business. This startup is also backed by a large company, giving you extra tools for success",The product suit you are selling is an over saturated market. You have a lot of competitors charging way less for what you do which makes it difficult to close new business,,5.0,5,4,4,4,5,,mark,mark
2017-10-03,Client Services,,"Current Employee, more than 3 years",Who's On First?,8,"If you are looking for an entry-level, just out of college opportunity - this is the job for you!","This company continues to celebrate its split from Gannett - and the ONE account G/O was able to snag from Reach Local. It seems amateurish to celebrate that win that cost nearly half of the former employee's jobs when the company cannot even keep its current employees happy.

Increased workload abound, but no compensation to balance the scales. Everyone that G/O fired(then happily took credit for finding them new placement) got raises, and some promotions!

Overwhelming amount of management presence. Process and procedures that are antiquated. Hiring practices for long-tenured staff rather than looking for the best, most qualified talent.

Talent leaving in droves as G/O feels like a company starting all over again. There seems to be no identity for this place. Most employee benefits are lacking and management is severely out of touch with their employees and has no real willingness to fix the relationship. Promises continue to be made with no real follow through.","Listen to your people(for real), stop making promises you cannot deliver on, and stop trying to bang the drum about the one account you kept from Reach-it is quite petty. You have lost touch with your staff and I'm sure the loss in personnel is starting to be felt.",1.0,3,2,1,2,1,,cross,cross
2017-08-24,Anonymous,,"Current Employee, more than 3 years",It's All About Perspective,0,I've been in multiple roles at G/O over the past four years and am incredibly thankful to be working for this company. Are we perfect? No. Do we have an incredibly relaxed and supportive culture that allows you to thrive? Yes.,"A lot of reviews have focused on lack of management, direction, and salary. Our goals and products have to change in order to stay current and competitive, so changing and being flexible with our direction is imperative. I personally think that the salary is impressive. Sure, you could make more somewhere else with a similar job title, but I don't think people realize how easy they have it here. As the title states, it's all about perspective.",Thank you for you continued support and dedication. You are appreciated.,5.0,5,5,4,5,4,,mark,mark
2017-08-02,Fulfillment,"Phoenix, AZ","Current Employee, more than 1 year","Hey, Who is on First?",13,"""Well, what are you askin' me for?"" Perfectly illustrates the communication style at G/O Digital.

There are snacks in the break room and candy dishes all over the place.
If it's your birthday you get a balloon and gift card to Starbucks.
You have a schedule, but let's be honest, no one will hold you accountable.
Culture used to be amazing but we still have seasonally events and for the most part many people participate.","Unless you are a true ""self starter"" look elsewhere. Training is basically nonexistent.
Political red tape hinders you from doing what's best for the client. Always.
Try asking the same question twice. The answer will always differ.
When it's your work anniversary you get a balloon but no gift card to Starbucks. 
Very behind digital marketing trends. It's embarrassing.","When you identify hard workers, instead of taking advantage of their work ethic, how about promote them? Define a clear career path for those talented that remain loyal to the company. Move away from promoting based upon seniority or because someone made an HR complaint. It's getting old.",2.0,3,4,1,3,1,,cross,cross
2017-06-23,Anonymous,"Phoenix, AZ","Former Employee, more than 3 years","Good People, Questionable Leadership",9,The culture is such that it is very easy to get to know your co-workers and generally they are nice and fun to be around.,Pay is below average and most of the VPs are out of touch with their products and processes.,Just because you think something should happen does not mean that it can or will and you have to be able to face that reality.,2.0,4,4,3,1,1,,cross,cross
2017-05-24,Web Development Project Manager,"Nashville, TN","Former Employee, more than 1 year",The McDonald's of Digital Marketing,14,"GREAT place to get your foot in the door. The company enjoys hiring younger folks with little to no experience. As far as I know, college degrees aren't required for many roles. Although they do a sub par job of training, there is some training that can position you to succeed.

Fast-paced environment.

A lot of young, fresh-out-of-school and like-minded people.

It's an okay place to get an overall foundational level view of what an agency in digital marketing does.

Benefits are decent and there's a good culture if you block out the politics.

I met some good folks for referrals that allowed me to get out early when I saw the writing on the wall.","You will NOT learn anything beyond the very basics at G/O Digital. There is zero effort made at the company to innovate or become an industry leader in any regard. If you accept a position at G/O Digital, stay only until you've fulfilled your own professional growth goals and be on your way. Staying longer will only make you less competitive in the job market down the road.

G/O Digital rarely acquires new business through word of mouth, great reviews, or overall excellent products/service. The main source of business is through the ARMY of sales people who are one day selling coupon slots in their local paper then the next day a $20,000+ website. The sales tech knowledge is abysmal and if you are client/sales-facing you'll encounter incredible struggles on several fronts.

The management, upper management, and senior levels have absolutely no idea what they're doing to run a digital agency. I'm not just being over-dramatic: they have been laying off tons of people because management is driving the company into the ground and the hardworking people doing client work are paying for it.

The CEO, Tim Fagan, is 100% to blame for this failing company (likewise the TGNA CEO/Board for keeping him), as he hires people no where near capable of running their departments. He's a nice guy, funny, gets to know people, etc. but is horrid at what he does. I believe he's been with the parent company (who is definitely NOT digital marketing) his entire career. This industry is nearly free money and they can't even turn a profit.

Nepotism runs rampant. People get hired or promoted who have no business doing what they're doing.","Please just resign and let someone who is more qualified and knowledgeable lead the young and eager teams. Your poor decisions through lack of true agency and media experience only induce stress and frustration to those who work so hard only to get laid off.

There are little, if any, experienced management and senior leadership folks capable of taking the company beyond low hanging fruit clients. Management spends more time putting out fires of unhappy clients than growing the company, growing their teams, and improving quality.",2.0,4,2,3,3,1,,cross,cross
2017-05-23,Senior Digital Account Manager,"Phoenix, AZ","Current Employee, more than 3 years",I've loved working here!,0,Great company to work for. Very flexible. Casual atmosphere. Great people. Pay is above average for the industry. I have autonomy to do my job without being micromanaged. Upper management is very chill. CEO is the coolest guy you'll ever meet! Very intelligent and down to earth. Backed by a national media company.,"A little behind the times in terms of policies...vacation time, maternity leave, etc. Can work from home when needed but it's not the norm.",,4.0,5,5,4,4,5,,mark,mark
2017-06-14,Anonymous,,Current Employee,I'm not sure why people lie and say this company has heart,12,"Many employees are really bright and have a lot of heart. It is saddening to see them reporting into such an incompetent ""leadership"" team.",Tim Fagan the CEO is really a moron. He doesn't know what he's doing and even the most junior employees know it. It is clear that his bosses at TEGNA are equally inept since they haven't cut bait and thrown this idiot out on his butt.,Fire Tim Fagan. He should be flipping burgers somewhere. Certainly not running G/O Digital. Sell the company to someone who is capable of running it. Clearly you have failed.,1.0,3,2,1,1,1,,cross,cross
2017-04-27,Anonymous,,"Current Employee, more than 1 year","Great people to work with, too bad we've all been laid off",6,Company culture is relaxed and fun.,"Pay is below industry standard, raises aren't a thing, most of the company has been laid off and severance checks won't be cut until a MONTH after the last day of employment.","Reward the people who stick around to the end, don't continue to burden them by holding their severance hostage.",2.0,4,3,2,2,3,,cross,cross
